Date,Open,High,Low,Close,Adj Close,Volume,Return Series
16/11/2017,5550.189941,6085.200195,5444.930176,5989.970215,5989.970215,14456892,0.079236977
15/11/2017,5097.149902,5580.819824,5081.240234,5550.189941,5550.189941,14264117,0.088936546
14/11/2017,5009.040039,5142.189941,4953.140137,5096.890137,5096.890137,9968315,0.017467196
13/11/2017,4452.609863,5254.939941,4420.669922,5009.390137,5009.390137,14581873,0.125045825
12/11/2017,4846.129883,4951.490234,4232.850098,4452.609863,4452.609863,14795347,-0.081202945
11/11/2017,5018.180176,5214.569824,4718.600098,4846.129883,4846.129883,12436034,-0.034304564
10/11/2017,5455.759766,5604.25,4884.509766,5018.279785,5018.279785,15859082,-0.079015283
09/11/2017,5728.450195,5728.75,5412.459961,5448.819824,5448.819824,11481615,-0.047234258
08/11/2017,5450,5996.060059,5422.759766,5718.950195,5718.950195,18808203,0.04803139
07/11/2017,5320.299805,5555.470215,5316.680176,5456.850098,5456.850098,9480210,0.025477013
06/11/2017,5703.649902,5717.700195,5301.200195,5321.279785,5321.279785,14820859,-0.065881685
05/11/2017,5652.959961,5851.509766,5594.72998,5696.580078,5696.580078,7406621,0.007716332
04/11/2017,5514.950195,5734.089844,5378.080078,5652.959961,5652.959961,11336491,0.025024662
03/11/2017,5429.060059,5745.279785,5362.200195,5514.950195,5514.950195,15945547,0.015842919
02/11/2017,5145.160156,5711.709961,5100.410156,5428.939941,5428.939941,18635055,0.055119858
01/11/2017,4900.680176,5145.330078,4807.930176,5145.330078,5145.330078,11612608,0.050667703
31/10/2017,4682.259766,4918.450195,4618.97998,4897.200195,4897.200195,10109128,0.045905276
30/10/2017,4684.100098,4756.689941,4590.330078,4682.259766,4682.259766,8279281,-0.000392889
28/10/2017,4380.509766,4718.359863,4316.540039,4684.100098,4684.100098,6598983,0.068536322
27/10/2017,4403.660156,4536.52002,4326.129883,4383.660156,4383.660156,5084788,-0.005194461
26/10/2017,4498,4592.459961,4363.290039,4406.549805,4406.549805,7814224,-0.025651457
25/10/2017,4345.75,4570.740234,4319.069824,4522.560059,4522.560059,10470725,0.041071401
24/10/2017,4217.149902,4377,4121.930176,4344.140137,4344.140137,10139021,0.03011281
23/10/2017,4511.319824,4529.740234,4189.180176,4217.149902,4217.149902,9326147,-0.058995375
22/10/2017,4576.759766,4629.560059,4324.459961,4481.540039,4481.540039,8983982,-0.021008304
21/10/2017,4609.75,4657.339844,4399.640137,4577.709961,4577.709961,7337682,-0.006803946
20/10/2017,4534.200195,4722.620117,4507.279785,4609.069824,4609.069824,7093016,0.015403748
19/10/2017,4406.560059,4600.629883,4277.220215,4539.149902,4539.149902,7906099,0.030089195
18/10/2017,4242.399902,4406.689941,4200.060059,4406.560059,4406.560059,6218627,0.038695116
17/10/2017,4267.830078,4272.72998,3897.080078,4242.399902,4242.399902,8284946,-0.005958573
16/10/2017,4339.060059,4382.459961,4207.629883,4267.830078,4267.830078,3710999,-0.016415993
